FIX:0,  DATE TIME:x014037,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014040,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014040,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014040,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014043,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014043,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014046,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014046,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014046,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014049,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014049,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014049,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014053,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014053,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014053,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014056,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014056,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014056,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014059,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014059,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014059,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014102,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014102,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014106,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014106,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014106,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014106,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014109,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014109,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014112,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014112,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014112,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014115,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014115,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014115,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014118,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014118,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014118,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014122,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
